ADAPTADOR APPLE 20W,$ 70.000
,
CABLES APPLE USB-C,$ 45.000
2 MESES DE GARANTIA,
CARGA RAPIDA,
,
LISTADO AIRPODS,
,
AIRPODS PRO 2DA GEN,$ 406.250
AIRPODS MAX LIGHTNING,$ 800.000
,
LISTA IPAD ( CONSULTAR STOCK),
,
IPAD 10MA GEN,
64GB,$ 631.250
256GB,$ 831.250
,
,
IPAD MINI 7MA GEN,
128GB,$ 856.250
256GB,$ 962.500
,
,
"IPAD AIR 11"" M2 2024",
128GB,$ 975.000
,
"IPAD AIR 13"" M2 2024",
128GB,$ 1.256.250
256GB,$ 1.381.250
,
"IPAD PRO 11"" M4 2024",
256GB,$ 1.462.500
512GB,$ 1.775.000
,
"IPAD PRO 13"" M4 2024",
256GB,$ 1.837.500
512GB,$ 2.162.500
,
ACCESORIOS,
PENCIL 1RA,$ 218.750
PENCIL 2DA,$ 225.000
PENCIL USB - C,$ 218.750
PENCIL PRO,$ 268.750
,
,
WATCH 7,
45MM,$ 481.250
,
WATCH SE 2,
40MM,$ 425.000
44MM,$ 450.000
,
WATCH ULTRA 2,
49MM,$ 1.200.000
,
WATCH SERIES 10,
42MM,$ 600.000
