    ,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
APPLE,EFECTIVO,3 CUOTAS DE
IPHONE 11 64GB,$ 632.500,$ 284.625
IPHONE 13 128GB,$ 807.500,$ 363.375
IPHONE 14 128GB,$ 932.500,$ 419.625
IPHONE 14 256GB,$ 1.051.250,$ 473.063
IPHONE 14 512GB,$ 1.063.750,$ 478.688
IPHONE PLUS 14 128GB,$ 1.032.500,$ 464.625
IPHONE PLUS 14 256GB,$ 1.107.500,$ 498.375
IPHONE 15 128GB,$ 1.045.000,$ 470.250
IPHONE 15 256GB,$ 1.188.750,$ 534.938
IPHONE 15 PLUS 128GB,$ 1.163.750,$ 523.688
IPHONE 15 PLUS 256GB,$ 1.295.000,$ 582.750
IPHONE 15 PRO MAX 512GB,$ 1.651.250,$ 743.063
IPHONE 15 PRO MAX 1TB,$ 1.713.750,$ 771.188
IPHONE 16E 128GB,$ 926.250,$ 416.813
IPHONE 16E 256GB,$ 1.051.250,$ 473.063
IPHONE 16 128GB,$ 1.157.500,$ 520.875
IPHONE 16 256GB,$ 1.301.250,$ 585.563
IPHONE 16 PLUS 128GB,$ 1.288.750,$ 579.938
IPHONE 16 PLUS 256GB,$ 1.413.750,$ 636.188
IPHONE 16 PRO 128GB,$ 1.370.000,$ 616.500
IPHONE 16 PRO 256GB,$ 1.495.000,$ 672.750
IPHONE 16 PRO MAX 256GB,$ 1.626.250,$ 731.813
IPHONE 16 PRO MAX 512GB,$ 1.838.750,$ 827.438
IPHONE 16 PRO MAX 1TB,$ 2.045.000,$ 920.250
,,
SAMSUNG,EFECTIVO,3 CUOTAS DE
S24 FE 512GB,$ 912.500,$ 410.625
S24 PLUS 256 5G DS,$ 1.037.500,$ 466.875
S24 PLUS 512 5G DS,$ 1.125.000,$ 506.250
S24 ULTRA 12+256 5G DS,$ 1.218.750,$ 548.438
S24 ULTRA 12+512GB 5G DS,$ 1.262.500,$ 568.125
SAMSUNG S25 12/128GB,$ 1.045.000,$ 470.250
SAMSUNG S25 12/256 GB,$ 1.113.750,$ 501.188
SAMSUNG S25 PLUS 12/256 5G,$ 1.282.500,$ 577.125
SAMSUNG S25 PLUS 12/512 GB,$ 1.370.000,$ 616.500
SAMSUNG S25 ULTRA 12/256 GB,$ 1.470.000,$ 661.500
SAMSUNG S25 ULTRA 12/512 GB,$ 1.545.000,$ 695.250
,,
MOTOROLA,EFECTIVO,3 CUOTAS DE
MOTOROLA G84 8/256GB S/CARG,$ 371.250,$ 167.063
MOTOROLA G84 12/256 GB,$ 402.500,$ 181.125
MOTOROLA G85 5G 8/256 GB S/CARG,$ 396.250,$ 178.313
MOTOROLA G85 5G 12/256 GB,$ 427.500,$ 192.375
MOTOROLA EDGE 40 NEO 8/256GB,$ 421.250,$ 189.563
MOTOROLA EDGE 40 NEO 12/256 GB,$ 433.750,$ 195.188
MOTOROLA EDGE 50 FUSION 8/256GB 5G,$ 475.000,$ 213.750
MOTOROLA EDGE 50 FUSION 5G 12/512 GB,$ 537.500,$ 241.875
MOTOROLA EDGE 50 12/256GB,$ 562.500,$ 253.125
MOTOROLA EDGE 50 5G 12/512 GB,$ 668.750,$ 300.938
